name,E_Pa,Sy_Pa
Carbon Steel 1095 Var3,205000000000.0,800000000.0
Alloy Steel 4140 (QT) Var3,210000000000.0,655000000.0
Alloy Steel 4340 (QT) Var3,210000000000.0,1000000000.0
HSLA Steel A572 Gr50 Var3,200000000000.0,345000000.0
HSLA Steel A992 Var3,200000000000.0,345000000.0
Tool Steel D2 Var3,210000000000.0,550000000.0
Tool Steel H13 Var3,210000000000.0,1400000000.0
Spring Steel 5160 Var3,205000000000.0,1550000000.0
Stainless Steel 304 Var3,193000000000.0,215000000.0
Stainless Steel 316 Var3,193000000000.0,290000000.0
Stainless Steel 410 Var3,200000000000.0,275000000.0
Stainless Steel 420 Var3,200000000000.0,500000000.0
Stainless Steel 17-4PH Var3,196000000000.0,1100000000.0
Aluminum 1100-O Var3,69000000000.0,34000000.0
Aluminum 2024-T3 Var3,73000000000.0,320000000.0
Aluminum 5052-H32 Var3,70000000000.0,193000000.0
Aluminum 6061-T6 Var3,69000000000.0,270000000.0
Aluminum 7075-T6 Var3,72000000000.0,500000000.0
Titanium Grade 2 Var3,105000000000.0,340000000.0
Titanium Ti-6Al-4V Var3,114000000000.0,880000000.0
Inconel 625 Var3,205000000000.0,760000000.0
Inconel 718 Var3,210000000000.0,1000000000.0
Monel 400 Var3,179000000000.0,170000000.0
Hastelloy C-276 Var3,206000000000.0,350000000.0
Copper C11000 Var3,110000000000.0,70000000.0
Brass 260 Var3,100000000000.0,200000000.0
Bronze (Phosphor) Var3,110000000000.0,240000000.0
Magnesium AZ31B Var3,45000000000.0,200000000.0
Zinc Var3,108000000000.0,55000000.0
Lead Var3,16000000000.0,12000000.0
Tungsten Var3,400000000000.0,550000000.0
Molybdenum Var3,330000000000.0,550000000.0
Beryllium Var3,287000000000.0,240000000.0
ABS Var3,2000000000.0,35000000.0
Acrylic (PMMA) Var3,3200000000.0,60000000.0
Polycarbonate Var3,2300000000.0,70000000.0
Nylon 6/6 Var3,2800000000.0,70000000.0
POM (Delrin) Var3,3000000000.0,69000000.0
PEEK Var3,3600000000.0,90000000.0
HDPE Var3,1000000000.0,25000000.0
LDPE Var3,2000000000.0,20000000.0
PP (Polypropylene) Var3,1500000000.0,30000000.0
PTFE (Teflon) Var3,500000000.0,20000000.0
PVC (Rigid) Var3,2900000000.0,55000000.0
Carbon Fiber/Epoxy (UD) Var3,145000000000.0,600000000.0
Carbon Fiber/Epoxy (Woven) Var3,70000000000.0,400000000.0
Glass Fiber/Epoxy (E-glass) Var3,40000000000.0,350000000.0
